Country,Exports to US
China,"$463,000,000,000"
Cambodia,"$13,000,000,000"
Sri Lanka,"$3,000,000,000"
madagascar,"$753,000,000"
Lesotho,"$242,000,000"
Saint Pierre and Mequelon,"$3,000,000"
Mexico,"$506,000,000,000"
Canada,"$421,000,000,000"
Germany,"$163,000,000,000"
Japan,"$152,000,000,000"
,
,
,
,
,
,
,
,
,
